"fecha_de_autorizaci_n","tipo_de_solicitud","solicitante_importador","ium","principio_activo1","concentraci_n_delmedicamento1","unidad_medida1","principio_activo2","concentraci_n_del_medicamento2","unidad_medida2","forma_farmac_utica","nombre_comercial_","cantidad_solicitada","presentaci_n_comercial","diagnostico_cie_1no_reporta","c_digo_diagnostico_cie_10"
"2025-10-10T05:00:00.000","URGENCIA CLÍNICA","UNO HEALTHCARE S.A.S.","SIN IUM POR SER FITOTERAPEUTICO","EXTRACTO SECO DE LA CORTEZA DE ABEDUL-BETULINA","100","mg","NO APLICA","NO APLICA","NO APLICA","GEL","FILSUVEZ","90","TUBOS X 23,4 g","EPIDERMOLISIS BULLOSA DISTROFICA","Q812"
"2025-10-10T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-10-10T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1V1001401000100","VANDETANIB","100","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","CAPRELSA","9","CAJAS X 30 TABLETAS","TUMOR MALIGNO DE LA GLANDULA TIROIDES","C73X"
"2025-10-10T05:00:00.000","PACIENTE ESPECIFICO","SALUTIS SAS - UNO HEALTHCARE","1L1063461000100","LUMASIRAN SÓDICO","189","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","OXLUMO","4","VIALES X 0,5ml","TRASTORNOS DEL METABOLISMO DE LA LISINA Y LA HIDROXILISINA","E723"
"2025-10-10T05:00:00.000","URGENCIA CLÍNICA","UNO HEALTHCARE S.A.S.","SIN IUM POR SER FITOTERAPEUTICO","EXTRACTO SECO DE LA CORTEZA DE ABEDUL-BETULINA","100","mg","NO APLICA","NO APLICA","NO APLICA","GEL","FILSUVEZ","90","TUBOS X 23,4 g","EPIDERMOLISIS BULLOSA, NO ESPECIFICADA","Q819"
"2025-10-10T05:00:00.000","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1V1030561000100","VOLANESORSEN","190","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","WAYLIVRA","12","CAJA X 1 JERINGA X 1,5 ml","HIPERQUILOMICRONEMIA","E783"
"2025-10-10T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","108","CAJAS X 10 TABLETAS","INSUFICIENCIA RENAL CRONICA, NO ESPECIFICADA","N189"
"2025-10-10T05:00:00.000","PACIENTE ESPECIFICO","SALUTIS SAS - LABORATORIOS BIOPAS S.A.","1M1041941000100","MARALIXIBAT","950/100","mg/mL","NO APLICA","NO APLICA","NO APLICA","JARABE","LIVMARLI","9","CAJAS X UN FRASCO DE 30 mL + UNA JERINGA DOSIFICADORA DE 0.5 ML O DOSIFICADORA DE 1 mL O UNA JERINGA DOSIFICADORA DE 3 mL","SINDROME DE ALAGILLE","Q447"
"2025-10-10T05:00:00.000","MÁS DE UN PACIENTE","HOLLAND GROUP SAS","1H1046221009100","HIDROXICARBAMIDA (HIDROXIUREA)","500","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","FLODREA-500","700","CAJA X 100 CAPSULA","MELANOMA IN SITU DE OTROS SITIOS","D038"
"2025-10-10T05:00:00.000","MÁS DE UN PACIENTE","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1F1001691003100","FELBAMATO","600","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","GLOBAL SERVICE PHARMACEUTICAL","24","FRASCO X 100 TABLETAS","EPILEPSIA REFRACTARIA","NO REPORTADO"
"2025-10-10T05:00:00.000","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1S1042531001101","SELPERCATINIB","40","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","RETSEVMO","26","CAJAS X 56 CAPSULAS","TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON","C341"
"2025-10-08T05:00:00.000","URGENCIA CLÍNICA","MEGALABS COLOMBIA S.A.S","1A1060921000100","ACIDO 5-AMINOLEVULÍNICO HCl","30","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL","GLIOLAN","1","FRASCO CON 50ml (1500mg)","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO, SUPRATENTORIAL","D430"
"2025-10-08T05:00:00.000","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1V1019601011100","VASOPRESINA","20","UI/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NEXT PHARMA SOURCING","3750","CAJA X 10 AMPOLLAS DE 1 mL","DIABETES INSIPIDA","E232"
"2025-10-08T05:00:00.000","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1V1019601011100","VASOPRESINA","20","UI/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NEXT PHARMA SOURCING","3750","CAJA X 10 AMPOLLAS DE 1 mL","DIABETES INSIPIDA","E232"
"2025-10-08T05:00:00.000","PACIENTE ESPECIFICO","SALUTIS SAS","1B1001101000101","BETANECOL HCl","25","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","BETHANECHOL CHLORIDE","2","FRASCOS X 100 TABLETAS","OTRAS DISFUNCIONES NEUROMUSCULARES DE LA VEJIGA","N318"
"2025-10-08T05:00:00.000","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","1A1050241000101","Epitelio de Gato 100%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","35","ESTUCHES X 20 VIALES DE 3mL","ALERGIA NO ESPECIFICADA","T784"
"2025-10-08T05:00:00.000","MÁS DE UN PACIENTE","INMUNOTEK COLOMBIA S.A.S.","1A1050241000101","Epitelio de Gato 100%","10000","UT/mL","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","ALXOID","140","ESTUCHES X 20 VIALES DE 3mL","ALERGIA NO ESPECIFICADA","T784"
"2025-10-08T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-10-08T05:00:00.000","URGENCIA CLÍNICA","MULTICARE PHARMACEUTICALS COLOMBIA SAS","1V1041501000100","VOSORITIDA","0.8","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","VOXZOGO","18","CAJAS X 10 VIALES  + JERINGA PRECARGADA X 0.7 mL de SOLVENTE","ACONDROPLASIA","Q774"
"2025-10-08T05:00:00.000","PACIENTE ESPECIFICO","ROCKA INTERNATIONAL SOLUTIONS","1I1039341000100","INTERFERON ALFA 2 BETA","6","MUI/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","RELIFERON","15","CAJAS X 1 VIAL X 0,5 mL","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL CONDUCTO CRANEOFARINGEO","D444"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","2B1025061001100","BUPIVACAINA","5","mg/mL","EPINEFRINA","5","mcg/ml","SOLUCIÓN INYECTABLE","SICMAFARMA","2000","CAJA X 10 AMPOLLAS X 10 mL","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","2B1025061001100","BUPIVACAINA","5","mg/mL","EPINEFRINA","5","mcg/ml","SOLUCIÓN INYECTABLE","SICMAFARMA","2000","CAJA X 10 AMPOLLAS DE 10 mL","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","2B1025061001100","BUPIVACAINA","5","mg/mL","EPINEFRINA","5","mcg/ml","SOLUCIÓN INYECTABLE","SICMAFARMA","2000","CAJA X 10 AMPOLLAS X 10 mL","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","2B1025061001100","BUPIVACAINA","5","mg/mL","EPINEFRINA","5","mcg/ml","SOLUCIÓN INYECTABLE","SICMAFARMA","2000","CAJA X 10 AMPOLLAS X 10 mL","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10000","CAJA X 5 AMPOLLAS DE 10 ML","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10000","CAJA X 5 AMPOLLAS DE 10 ML","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10000","CAJA X 5 AMPOLLAS DE 10 ML","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10000","CAJA X 5 AMPOLLAS DE 10 ML","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10000","CAJA X 5 AMPOLLAS DE 10 ML","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10000","CAJA X 5 AMPOLLAS DE 10 ML","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10000","CAJA X 5 AMPOLLAS DE 10 ML","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1S1015871003100","BICARBONATO DE SODIO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","10000","CAJA X 5 AMPOLLAS DE 10 ML","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","UNO HEALTHCARE S.A.S.","1M1000831000104","METRELEPTIN","5","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","MYALEPT","600","CAJAS X 1 VIAL X 2,26 mL + FRASCO CON AGUA BACTERIOSTATICA","LIPODISTROFIA CONGÉNITA PARCIAL","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","PISA FARMACÉUTICA DE COLOMBIA S.A.","1I1032911002100","INSULINA HUMANA","100","UI/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","INSULEX R","28512","CAJA X UN VIAL DE 10 mL","NO REPORTADO","NO REPORTADO"
"2025-10-07T05:00:00.000","PACIENTE ESPECIFICO","SALUTIS SAS - SUMA ACTIVA SAS","1Q1014651004100","ACIDO QUENODEOXICOLICO","250","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","CETEIX","5","CAJAS X 100 CÁPSULAS","OTROS TRASTORNOS DEL ALMACENAMIENTO DE LIPIDOS","E755"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","PISA FARMACÉUTICA DE COLOMBIA S.A.","1B1024501002100","BUPIVACAINA CLORHIDRATO","5","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","BUVACAINA","27521","CAJA CON UNA (1) AMPOLLA DE 10 ML","ANESTÉSICO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","PISA FARMACÉUTICA DE COLOMBIA S.A.","1B1024501002100","BUPIVACAINA CLORHIDRATO","5","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","BUVACAINA","29182","CAJA CON UNA (1) AMPOLLA DE 10 ML","ANESTÉSICO","NO REPORTADO"
"2025-10-07T05:00:00.000","MÁS DE UN PACIENTE","HOLLAND GROUP SAS","1V1019601013100","VASOPRESINA","20","UI/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","SOPRESSIN","10400","CAJA X 5 AMPOLLAS DE 1 mL","TRATAMIENTO DE LA HIPOTENSIÓN REFRACTARIA A CATECOLAMINAS ASOCIADA A UN SHOCK SEPTICO EN PACIENES MAYORES DE 18 AÑOS","NO REPORTADO"
